Acceso discapacitados,Alberca,Amueblado,Antigüedad,Baños,Caseta de guardia,Chimenea,Cocina integral,Cuartos de servicio,Elevador,Escuelas Cercanas,Estado de conservación,Frente a Parque,Jacuzzi,M&sup2; de fondo,M&sup2; de frente,Mascotas,Niveles construidos,Recámaras,antigüedad,baño,baños,construido,construidos,createdDate,estacionamiento,estacionamientos,latitude,longitude,medio baño,medios baños,operationType,price,realEstateType,recámaras,stage,title,total,url,model
null,null,null,A estrenar,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,4,396 m²,null,2023-07-12T16:18:19Z,null,3,20.619405700000001,-103.411296500000005,null,2,venta,9800000,Casa,3,finished,null,217 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-la-calma-tula-1348-90541531.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,6,null,5,240 m²,null,2024-03-20T21:58:14Z,null,2,20.752905800000000,-103.410752900000030,1,null,venta,6850000,Casa,null,finished,null,140 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-la-cima-de-zapopan-jalisco-143058607.html,0
null,null,null,A estrenar,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,4,400 m²,null,2024-01-04T23:33:17Z,null,4,20.714181500000000,-103.419706300000000,1,null,venta,24350000,Casa,4,finished,null,493 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-puerta-de-hierro-hermosa-segura-y-142251716.html,0
null,null,null,En construcción,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,2,null,null,null,3,398 m²,null,2024-01-29T23:55:45Z,null,2,20.735823100000000,-103.436270700000000,null,3,venta,11450000,Casa,4,finished,null,225 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-jardin-real-zapopan-142490833.html,0
null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,121 m²,null,null,null,20.5624336,-103.4865301,null,null,null,"$ 3,999,000 MXN",for-sale,null,null,Casa en Venta en Tlajomulco de Zúñiga,null,https://www.lamudi.com.mx/detalle/41032-73-397429197728-82a3-1dc19f49-baa9-1237,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,196 m²,null,null,null,20.73132282,-103.47473785,null,null,null,"$ 6,990,000 MXN",for-sale,null,null,Casa en Venta en Solares,null,https://www.lamudi.com.mx/detalle/41032-73-95a205947134-686d-b9015911-8c6b-4b80,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,196 m²,null,null,null,20.73104186,-103.47405121,null,null,null,"$ 6,990,000 MXN",for-sale,null,null,Casa en Venta en Solares,null,https://www.lamudi.com.mx/detalle/41032-73-abb8c39bd62d-8d8f-280e9daa-875e-439c,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,300 m²,null,null,null,20.753442,-103.413899,null,null,null,"$ 8,600,000 MXN",for-sale,null,null,Casa en Fraccionamiento en Venta en La cima de Zapopan,null,https://www.lamudi.com.mx/detalle/41032-73-3ad35e816473-bbcd-2bb8bf54-ab93-3634,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,215 m²,null,null,null,20.7537863,-103.4137917,null,null,null,"$ 6,650,000 MXN",for-sale,null,null,Casa en Condominio en Venta en La cima de Zapopan,null,https://www.lamudi.com.mx/detalle/41032-73-f979ebc9bd93-bcfc-10a82b53-a4ee-4a3e,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,300 m²,null,null,null,20.79303,-103.43037,null,null,null,"$ 7,950,000 MXN",for-sale,null,null,Casa en Fraccionamiento en Venta en Valle Imperial,null,https://www.lamudi.com.mx/detalle/41032-73-a276ea2fa18a-133b-4ec94500-b7ac-38db,0
null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,361 m²,null,null,null,20.6181109,-103.4651684,null,null,null,"$ 6,950,000 MXN",for-sale,null,null,Casa en Venta en Bugambilias,null,https://www.lamudi.com.mx/detalle/41032-73-ae9028a7959d-3453-93da1443-a678-490a,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,220 m²,null,null,null,20.753442,-103.413899,null,null,null,"$ 6,950,000 MXN",for-sale,null,null,Casa en Fraccionamiento en Venta en La cima de Zapopan,null,https://www.lamudi.com.mx/detalle/41032-73-65350bc2e01d-d4e0-3f113a21-bf3d-3c61,0
null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,265 m²,null,null,null,20.7358231,-103.4362707,null,null,null,"$ 9,900,000 MXN",for-sale,null,null,Casa en Venta en Jardín Real,null,https://www.lamudi.com.mx/detalle/41032-73-59314cc2201c-53ea-7c7c9e0c-b742-4ddd,0
null,null,null,null,17,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,"2,811 m²",null,null,null,20.590951,-105.243824,null,null,null,"$ 107,100,000 MXN",for-sale,null,null,Casa en Venta en Conchas Chinas,null,https://www.lamudi.com.mx/detalle/41032-73-7f545f104b37-5253-1f329b92-baac-308b,0
null,null,null,null,null,null,null,null,null,null,null,Bueno,null,null,null,null,null,3,null,80,null,2,367 m²,null,2024-01-24T22:19:46Z,1,null,20.669257621900001,-103.366890549700002,null,null,venta,9500000,Casa,3,finished,null,276 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-la-americana-142446487.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,2,436 m²,null,2024-04-16T00:24:53Z,null,2,20.560520100000000,-103.455150700000000,1,null,renta,19000,Casa,3,finished,null,160 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-en-del-pilar-residencial-143277178.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,2,120 m²,null,2024-04-11T17:11:52Z,null,2,20.780228100000000,-103.463460800000000,null,2,renta,12800,Casa,3,finished,null,88 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-en-belissimo-habitat-residencial-143244980.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,1,null,4,450 m²,null,2024-03-21T18:17:43Z,null,2,20.724468500000000,-103.447205000000000,1,null,renta,59000,Casa,3,finished,null,349 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-valle-real-143066914.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,14,null,null,null,25,null,2,205 m²,null,2024-04-15T22:21:12Z,null,3,20.639249100000000,-103.400242400000000,1,null,renta,20000,Casa,3,finished,null,124 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-loma-bonita-zapopan-jalisco.-143275663.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,null,5,300 m²,null,2024-04-24T22:12:36Z,null,2,20.669189000000000,-103.430061300000000,1,null,renta,48000,Casa,5,finished,null,500 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-en-la-estancia-143363536.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,2,null,2,123 m²,null,2023-02-15T05:00Z,null,2,20.790863400000000,-103.422439900000000,1,null,venta,3200000,Casa,3,finished,null,99 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-y-renta-alva-residencial-81147491.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,3,null,6,640 m²,null,2023-07-19T19:55:35Z,null,4,20.592425694122078,-103.475462001713600,1,null,venta,32190000,Casa,6,finished,null,620 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-residencia-de-lujo-en-el-cielo-colinda-con-green-90640472.html,0
null,null,null,null,null,null,null,null,null,null,null,Bueno,null,null,null,null,null,2,null,35,null,3,312 m²,null,2024-04-22T16:42:32Z,null,2,20.637312524100000,-103.420829772900006,1,null,renta,46500,Casa,5,finished,null,284 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-uso-comercial-en-renta-en-av-mariano-otero-143331016.html,0
null,null,null,A estrenar,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,262 m²,null,2023-09-13T02:14:22Z,null,2,20.727447800000000,-103.466697800000000,1,null,renta,35000,Casa,4,finished,null,147 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-venta-en-solares-soare-coto-3-91291412.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,30,5,null,null,null,15,null,3,200 m²,null,2024-01-10T23:54:22Z,null,2,20.683202500000000,-103.383521400000000,null,null,renta,31000,Casa,3,finished,null,240 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-renta-circunvalacion-guevara-142310507.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,4,498 m²,null,2024-03-06T16:12:14Z,null,6,20.589759600000000,-103.476312900000000,null,3,venta,24990000,Casa,4,finished,null,635 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-el-cielo-142923810.html,0
null,null,null,null,null,null,null,null,null,null,null,Bueno,null,null,null,null,null,2,null,20,null,3,356 m²,null,2023-09-27T19:19:45Z,null,2,20.499547700000000,-103.497584300000000,null,null,venta,8750000,Casa,4,finished,null,200 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-venta-o-renta-en-lomas-de-santa-anita-91464889.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.630081100000000,-103.477731900000000,null,null,null,null,null,null,finished,null,null,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-dentro-de-coto-oyamel-3-zona-el-143323757.html,0
null,null,null,A estrenar,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,252 m²,null,2024-02-28T05:04:13Z,null,2,20.660021000000000,-103.392632900000000,null,null,renta,40000,Casa,4,finished,null,198 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-elegante-casa-en-chapalita-142850531.html,0
null,null,null,null,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,null,null,1,1,null,510 m²,null,2024-04-04T22:32:05Z,null,2,20.693633100000000,-103.449752600000000,null,null,renta,85000,Casa,3,finished,null,568 m²,https://www.inmuebles24.com/propiedades/clasificado/alclcain-amplia-residencia-amueblada-con-alberca-143184030.html,0
